ลำดับ,ชื่อเล่น,ชื่อ-นามสกุล,ชั้นเรียน,วิชา,อาการ,วิธีรับมือ
17,แนน,ภาณุพงศ์ เพิ่มพูน,ป.6/2,คณิตศาสตร์,ดูนาฬิกาแบบเข็มไม่เป็น,ใช้นาฬิกาจำลองหมุนเข็มเองได้
18,บาส,วรวุฒิ รุ่งเรือง,ป.1/1,"ภาษาไทย, สังคมศึกษา ศาสนาและวัฒนธรรม, ศิลปะ",แยก ก/ถ/ภ ไม่ออก ไม่เข้าใจแผนที่ และแยกสีไม่ออก,ใช้สีเน้นหัวพยัญชนะ ใช้ Google Earth และเขียนชื่อสีกำกับ
19,แก้ม,สิทธิชัย แจ่มแจ้ง,ป.2/2,ภาษาไทย,เขียนหนังสือช้าและกดแรงมาก,ใช้ดินสอ 2B และยางจับดินสอแบบนิ่มช่วย
20,ตูน,อาทิตย์ บริบูรณ์,ป.3/1,"คณิตศาสตร์, วิทยาศาสตร์",เปรียบเทียบเศษส่วนไม่ได้ จำแนกหินดินแร่ไม่ได้,ใช้สื่อเค้กจำลองสอนเศษส่วน และให้สัมผัสหินของจริง
21,เบล,กิตติพงศ์ วรเวช,ป.4/1,ภาษาอังกฤษ,ไม่กล้าพูดเพราะนึกคำไม่ออก,ให้พูดคำศัพท์สั้นๆ และชมเชยทุกครั้งที่กล้าพูด
22,ปอนด์,ทนงศักดิ์ แสงสว่าง,ป.5/2,"วิทยาศาสตร์, คณิตศาสตร์",คำนวณหาความหนาแน่นไม่ได้,อนุญาตให้ใช้เครื่องคิดเลขในการคำนวณวิทย์
23,นัท,นันทวัฒน์ ใจดี,ป.6/1,ภาษาไทย,จับใจความสำคัญไม่ได้เลย,ใช้เทคนิคเพื่อนช่วยเพื่อน (Buddy) เล่าสรุปให้ฟัง
24,มอส,ประเสริฐ มีทรัพย์,ป.1/2,"คณิตศาสตร์, สุขศึกษาและพลศึกษา",ลบเลขแบบยืมไม่ได้ และกระโดดขาเดียวไม่ได้ (การทรงตัว),ใช้ตารางหลักสิบช่วยสอน และฝึกเดินทรงตัวบนเส้นตรง
25,แจ็ค,สมชาย มาดี,ป.2/1,"ภาษาอังกฤษ, ภาษาไทย",สับสน b/d และ ด/ค,ใช้เทคนิคกำปั้น (b like thumb up)
26,กิ๊ฟ,วิชัย รักษ์ดี,ป.3/2,ภาษาไทย,สะกดคำแม่ก กา ผิดบ่อย,เล่นเกมบิงโกคำศัพท์แม่ ก กา
27,น้ำ,เฉลิมชัย ใจซื่อ,ป.4/1,"คณิตศาสตร์, ภาษาอังกฤษ",สับสนทศนิยม และจำคำศัพท์หมวดวันเดือนไม่ได้,ใช้ไม้บรรทัดแสดงทศนิยม และร้องเพลง Days of the week
28,โฟน,บุญส่ง แซ่ตั้ง,ป.5/2,วิทยาศาสตร์,ไม่เข้าใจเรื่องแรงเสียดทาน,ทดลองลากวัตถุบนพื้นผิวต่างกันให้เห็นจริง
29,เป้,อุดม คงกระพัน,ป.6/1,"ภาษาไทย, สังคมศึกษา ศาสนาและวัฒนธรรม",เขียนเรียงความวกวน และจำลำดับเหตุการณ์ประวัติศาสตร์ไม่ได้,ให้เขียนเป็นข้อๆ (Bullet point) และใช้เส้นเวลา (Timeline)
30,มายด์,จรัญ เรียนเก่ง,ป.1/1,"ภาษาอังกฤษ, ศิลปะ",จำ A-Z ไม่ครบ และวาดรูปคนมีส่วนประกอบไม่ครบ,ร้องเพลง ABC และให้เติมส่วนที่หายไปของภาพ
31,ออม,ชัชวาล วงศ์สวัสดิ์,ป.4/1,คณิตศาสตร์,แก้โจทย์ปัญหา 2 ชั้นไม่ได้,ขีดเส้นใต้สิ่งที่โจทย์ถามและสิ่งที่โจทย์บอก
32,แบงค์,ดวงพร รัตนจริยา,ป.6/2,"ภาษาไทย, วิทยาศาสตร์",อ่านจับใจความบทร้อยกรองไม่ได้ และจำแนกสารเคมีไม่ได้,แปลบทร้อยกรองเป็นภาษาพูดปกติ และติดป้ายชื่อสารเคมีด้วยสี
33,มิลค์,พรพิมล ศิริสัมพันธ์,ป.6/1,วิทยาศาสตร์,สับสนทิศทางและแผนที่ดาว,ใช้เข็มทิศจริงพาเดินสำรวจโรงเรียน
34,กันต์,กิตติเดช ทองประเสริฐ,ป.5/2,"ภาษาอังกฤษ, คณิตศาสตร์",แปลความหมายผิดบริบท และคำนวณพื้นที่ผิด,สอนศัพท์จากบริบทจริง และใช้ตารางกริดนับพื้นที่
35,เนย,สราวุฒิ รุ่งรัตนกุล,ป.3/1,"คณิตศาสตร์, การงานอาชีพและเทคโนโลยี",จำสูตรคูณไม่ได้ และร้อยเข็มไม่ได้,ใช้ตารางสูตรคูณวางบนโต๊ะ และใช้เข็มรูใหญ่/ไหมพรมฝึก
36,บี,เบญจมาศ มาเจริญ,ป.1/1,ภาษาไทย,แยกอักษรสูง/กลาง/ต่ำ ไม่ได้,ใช้สีแยกหมู่พยัญชนะ (ไตรยางศ์)
37,เต๋า,นราวิชญ์ ปัญญาดี,ป.2/2,"ภาษาอังกฤษ, สุขศึกษาและพลศึกษา",เขียนศัพท์สลับหน้าหลัง (saw/was) และรับลูกบอลไม่ได้,ฝึกสะกดคำทีละตัว และฝึกรับส่งบอลระยะใกล้
38,นุ๊ก,ปาริฉัตร รักษาสัตย์,ป.3/2,คณิตศาสตร์,แยกรูปทรง 2 มิติ กับ 3 มิติไม่ออก,ให้จับของจริง (กล่อง, ลูกบอล) เทียบกับรูปวาด
39,เบส,พิสิษฐ์ เก่ง,ป.4/2,"วิทยาศาสตร์, ภาษาไทย",จัดกลุ่มสิ่งมีชีวิตผิด และเขียนคำพ้องเสียงผิด,ใช้เกมจัดหมวดหมู่ภาพสัตว์ และแต่งประโยคจากคำพ้อง
40,ดิว,กัญญารัตน์ เพิ่มสุข,ป.5/2,"ภาษาไทย, สังคมศึกษา ศาสนาและวัฒนธรรม",ใช้คำบุพบทผิด (ใน/บน/ล่าง) และไม่เข้าใจวัฒนธรรมท้องถิ่น,สาธิตวางของตำแหน่งต่างๆ และพาไปดูพิพิธภัณฑ์ท้องถิ่น
41,กวาง,ปรีชา วงศ์สวัสดิ์,ป.3/1,"คณิตศาสตร์, ภาษาอังกฤษ",หารสั้นไม่ได้ และฟังคำสั่งภาษาอังกฤษไม่ออก,สอนวิธีหารยาวก่อน (เห็นภาพชัดกว่า) และใช้ท่าทางประกอบคำสั่ง (TPR)
42,ปลา,ศิริชัย รัตนจริยา,ป.2/1,"ภาษาอังกฤษ, ศิลปะ",ไม่เข้าใจ Tense และผสมสีไม่ได้ตามสั่ง,ใช้เส้นเวลา (Timeline) สอน Tense ง่ายๆ และให้ทดลองผสมสีน้ำเอง
43,นุ่น,ทิพวรรณ ศิริสัมพันธ์,ป.2/2,ภาษาไทย,อ่านตะกุกตะกักมาก ขาดความมั่นใจ,ฝึกอ่านกับเพื่อนสนิท (Buddy Reading)
44,ตั้ม,เกรียงไกร ทองประเสริฐ,ป.1/1,"คณิตศาสตร์, การงานอาชีพและเทคโนโลยี",เขียนเลขกลับด้าน (3, 7) และพับกระดาษไม่ตรงรอย,ลากนิ้วบนกระดาษทรายรูปตัวเลข และฝึกพับกระดาษตามเส้นประ
45,คิว,วราภรณ์ รุ่งรัตนกุล,ป.3/2,วิทยาศาสตร์,สรุปผลการทดลองขัดแย้งกับข้อมูล,ใช้แบบเติมคำในช่องว่างเพื่อสรุปผล
46,เก่ง,สมชาย มาเจริญ,ป.6/1,"ภาษาอังกฤษ, ภาษาไทย, สังคมศึกษา ศาสนาและวัฒนธรรม",อ่านคำควบกล้ำไม่ได้เลย และจำชื่อประเทศเพื่อนบ้านไม่ได้,ฝึกออกเสียงหน้ากระจก และเล่นเกมต่อแผนที่อาเซียน
47,น้ำ,วีระ ปัญญาดี,ป.4/1,ภาษาไทย,เขียนเรียงความไม่ได้ ประโยคไม่สมบูรณ์,ให้เขียนโครงเรื่อง (Mind Map) ก่อนเขียนจริง
48,ฝน,วิชัย รักษาสัตย์,ป.5/2,"คณิตศาสตร์, วิทยาศาสตร์",คำนวณร้อยละไม่ได้ และคำนวณความเร็วไม่ได้,ใช้เรื่องการลดราคาสินค้าในชีวิตจริง และดูหน้าปัดรถยนต์สอนเรื่องความเร็ว
49,เปิ้ล,ณัฐพล คงมั่น,ป.1/2,ภาษาไทย,ลืมพยัญชนะตัวที่ไม่ค่อยได้ใช้ (ฆ, ฌ),ติดโปสเตอร์พยัญชนะไทยไว้ที่โต๊ะ
50,ต่าย,ธนากร เพิ่มสุข,ป.2/2,"วิทยาศาสตร์, ศิลปะ",ไม่เข้าใจห่วงโซ่อาหาร และปั้นดินน้ำมันเป็นรูปทรงไม่ได้,ใช้โมเดลสัตว์จำลองมาเรียงลำดับการกิน และฝึกปั้นรูปทรงพื้นฐาน (กลม, เหลี่ยม)
51,บาส,ชัชวาล แก้วมณี,ป.2/1,คณิตศาสตร์,บวกเลขในใจไม่ได้ ต้องนับนิ้ว,อนุญาตให้นับนิ้วหรือใช้ตัวนับได้ ไม่ต้องห้าม
52,เอ็ม,ดวงพร จงดี,ป.3/2,"ภาษาอังกฤษ, สุขศึกษาและพลศึกษา",จับใจความจากการฟังไม่ได้ และวิ่งซิกแซกไม่ได้,ให้ฟังประโยคซ้ำ 2-3 รอบ และฝึกวิ่งอ้อมกรวยช้าๆ
53,กิ๊ฟ,พรพิมล ชื่นบาน,ป.5/1,"ภาษาไทย, การงานอาชีพและเทคโนโลยี",ย่อความไม่ได้ และใช้คอมพิวเตอร์ (Mouse) ไม่คล่อง,ให้ขีดไฮไลท์ใจความสำคัญ และเล่นเกมคลิกเมาส์ฝึกความแม่นยำ
54,แนท,กิตติเดช งามวิไล,ป.3/1,"คณิตศาสตร์, วิทยาศาสตร์",แปลงหน่วยวัดผิด (ซม./เมตร) และอ่านเทอร์โมมิเตอร์ไม่เป็น,ใช้สายวัดจริงวัดของในห้อง และฝึกอ่านอุณหภูมิห้องจริง
55,บอล,สราวุฒิ วงศ์สวัสดิ์,ป.5/1,"วิทยาศาสตร์, ภาษาอังกฤษ",จำแนกสารไม่ได้ และเขียนศัพท์วิทย์ภาษาอังกฤษผิด,ทำสมุดภาพคำศัพท์วิทย์ (Picture Dictionary)
56,ออม,เบญจมาศ รัตนจริยา,ป.2/2,"ภาษาไทย, ศิลปะ",อ่านข้ามบรรทัด และไม่กล้าวาดรูป,ใช้ไม้บรรทัดทาบทีละบรรทัดขณะอ่าน และให้วาดรูปอิสระโดยไม่ตัดสินสวย/ไม่สวย
57,แบงค์,นราวิชญ์ ศิริสัมพันธ์,ป.5/2,คณิตศาสตร์,แก้โจทย์สมการตัวแปรเดียวไม่ได้,ใช้ตาชั่งจำลองสอนเรื่องสมดุลสมการ
58,มิลค์,ปาริฉัตร ทองประเสริฐ,ป.3/2,"ภาษาอังกฤษ, สังคมศึกษา ศาสนาและวัฒนธรรม",เขียนวันเดือนปีภาษาอังกฤษผิด และไม่เข้าใจทิศในแผนที่,ร้องเพลง Months of the year และแปะป้ายทิศจริงในห้องเรียน
59,กันต์,พิสิษฐ์ รุ่งรัตนกุล,ป.2/2,ภาษาไทย,เขียนคำควบกล้ำตกหล่น (ความ-คาม),ฝึกออกเสียงช้าๆ ชัดๆ เน้นตัวควบ
60,เนย,กัญญารัตน์ มาเจริญ,ป.5/1,"วิทยาศาสตร์, คณิตศาสตร์",ต่อวงจรไฟฟ้าไม่ได้ และคำนวณค่าไฟไม่เป็น,ให้ลองต่อวงจรจริง (ถ่าน-สายไฟ-หลอดไฟ)
61,บี,ปรีชา ปัญญาดี,ป.1/1,คณิตศาสตร์,เรียงลำดับเลข 1-100 สับสน,ใช้ตารางร้อยช่อง (Hundred Chart)
62,เต๋า,ศิริชัย รักษาสัตย์,ป.3/2,"ภาษาอังกฤษ, ภาษาไทย",ใช้ is/am/are ผิด และแต่งประโยคภาษาไทยไม่รู้เรื่อง,ทำตารางสรุปการใช้ Verb to be และฝึกแต่งประโยคจากภาพ
63,นุ๊ก,ทิพวรรณ คงมั่น,ป.4/2,"ภาษาไทย, การงานอาชีพและเทคโนโลยี",ใช้ไม้ยมกผิดที่ และพับผ้าไม่เรียบร้อย,สอนหลักการอ่านคำซ้ำ และสอนพับผ้าทีละขั้นตอน
64,เบส,เกรียงไกร เพิ่มสุข,ป.3/2,"คณิตศาสตร์, ศิลปะ",นับมุม/ด้านรูปทรงผิด และผสมสีโปสเตอร์ไม่ได้สีตามต้องการ,ให้ขีดฆ่ามุมที่นับแล้ว และทำวงล้อสีไว้ดูประกอบ
65,ดิว,วราภรณ์ วงศ์สวัสดิ์,ป.4/2,วิทยาศาสตร์,อธิบายวัฏจักรน้ำไม่ได้,วาดภาพวัฏจักรน้ำใส่ถุงซิปล็อคใส่น้ำแปะกระจก
66,กวาง,สมชาย รัตนจริยา,ป.4/1,"ภาษาไทย, สังคมศึกษา ศาสนาและวัฒนธรรม",เขียนตัวการันต์ผิดตำแหน่ง และเรียงลำดับกษัตริย์ไม่ได้,ทำบัตรคำคำที่มีการันต์ และร้องเพลงพระนามกษัตริย์
67,ปลา,วีระ ศิริสัมพันธ์,ป.2/1,"ภาษาอังกฤษ, คณิตศาสตร์",จำคำตรงข้าม (Big/Small) ไม่ได้ และวัดความยาวผิด,ใช้ของจริงเปรียบเทียบขนาด และสอนวิธีวางไม้บรรทัดเริ่มที่เลข 0
68,นุ่น,วิชัย ทองประเสริฐ,ป.2/2,คณิตศาสตร์,ท่องสูตรคูณข้ามแม่,ใช้ตารางสูตรคูณช่วย ไม่ต้องบังคับท่องปากเปล่า
69,ตั้ม,ณัฐพล รุ่งรัตนกุล,ป.1/1,ภาษาไทย,อ่านไม่ออกเลยแม้แต่คำง่ายๆ,เน้นการฟังและดูรูปภาพแทนการอ่าน (Sight Words)
70,คิว,ธนากร มาเจริญ,ป.3/2,"วิทยาศาสตร์, ภาษาไทย",สับสนแรงผลัก/แรงดึง และสะกดคำแม่กดผิด (ด/ต/ถ/ท),เล่นเกมชักเย่อ/ผลักรถ และรวบรวมคำแม่กดมาติดบอร์ด
